name,cost,unitId
Yoghurt,3.03,1
Arugula,3.77,1
Gula Melaka,0.53,1
Mahlab,2.99,2
Parmesan Cheese,2.25,3
Barberry,2.35,2
Juniper Berries,3.6,2
Lettuce,2.96,4
Fingerlime,3.51,2
Watermelon,0.84,4
Dashi,0.72,2
Rockmelon,0.89,2
Green Tea Noodles,4,2
Nashi Pear,2.87,4
Eggs,1.95,1
Corn Oil,0.63,3
Cranberry,1.71,3
Farmed Prawns,3.52,1
Apple Juice Concentrate,2.93,4
Pine Nut,3.09,4
Chia Seeds,3.7,1
Kiwi Fruit,0.8,4
Turkey,0.05,4
Chickpea,3.02,1
Sesame Seeds,0.57,1
Cannellini Beans,1.94,1
Kumera,3.79,2
Dried Chinese Broccoli,0.98,3
Tinned,3.26,2
Kidneys,2.37,4
Broccoli,2.11,4
Mackerel,0.95,4
Borlotti Beans,2.32,1
Rhubarb,0.29,1
Spelt,3.07,1
Sunflower Seeds,1.25,1
Papaya,3.7,3
Cocoa Powder,2.75,1
Haloumi,2.65,1
Blueberries,2.51,2
Clams,2.06,1
Wholegrain Bread,1.62,3
Arrowroot,4,1
Tea Oil,1.56,1
Polenta,0.11,2
Blackberries,3.81,3
Kidney Beans,3.24,3
Cherries,3.25,4
Canola Oil,3.63,4
Pumpkin Seed,2.51,4
Kudzu,2.74,3
Peaches,2.19,1
Pork,0.03,4
Tomatoes,2.79,3
Hijiki,3.63,3
Ham,0.17,3
Lime Leaves,2.91,1
Brown Rice,1.2,3
Rice Paper,0.65,2
Plums,2.9,1
Salmon,2.55,2
Fruit,0.62,1
Scallops,2,2
Goat Cheese,1.33,4
Berries,2.07,1
Apples,1.06,2
Shiitake Mushrooms,0.16,1
Vanilla Beans,3.62,2
Safflower Oil,0.34,4
Buckwheat Noodles,3.99,2
Apple Juice,0.68,3
Honey,2.07,3
Olive Oil,0.93,2
Paprik,2.87,2
Wakame,2.07,1
Peppermint,2.46,3
Trout,0.36,3
Annatto Seed,2.8,2
Rye,1.28,4
Cavalo,0.58,4
Besan,0.93,3
Pears,2.17,3
Squash,3.4,2
Star Anise,3.46,3
Butternut Lettuce,3.04,3
Fennel Seeds,3.23,3
Malt Vinegar,0.05,4
Brazil Nut,3.49,2
Soy Beans,1.2,2
Rye Bread,0.04,3
Ricotta,3.2,1
Cassia bark,2.61,2
Galangal,0.17,3
Loquats,2.8,2
Hokkien Noodles,1.12,2
Brie,3,1
Cos Lettuce,3.84,3
Corella Pear,2.58,3
Pepitas,1.93,1
Apple Cider Vinegar,2.82,2
Tom Yum,1.25,3
Arborio Rice,0.67,3
Hazelnut,2.71,4
Raspberry,2.19,2
Eggplant,1.01,2
Onion,3.03,3
Pinto Beans,3.79,1
Mastic,3.74,2
Nutritional Yeast,3.33,3
Tapioca,1.35,3
English Spinach,3.19,2
Pear Juice,2.88,3
Oranges,3.83,1
Watercress,1.74,4
Mint,3.32,4
Kenchur,1,2
Yogurt,2.03,4
Red Wine,2.44,3
Molasses,2.12,4
Omega Spread,2.53,3
Alfalfa,3.94,4
Dark Chocolate,2.6,4
Gruyere,3.6,1
Soy Milk,1.24,3
Red Cabbage,1.72,3
Oyster Sauce,2.57,4
Bulghur,0.33,1
Cardamom,3.25,1
Mullet,1.29,2
Star Fruit,0.78,2
Mussels,1.62,3
Milk Chocolate,0.15,4
Squid,2.19,4
Cucumber,0.11,2
Rice Noodles,0.15,4
Blue Swimmer Crab,2.32,3
Pasta,1.38,2
Currants,1.53,3
Balsamic Vinegar,2.76,3
Bamboo Shoots,0.66,2
Common Cultivated Mushrooms,2.51,1
Oyster Mushrooms,3.63,1
Flaxseed Oil,0.91,2
Taleggio Cheese,2.73,1
Garlic,0.85,4
Cashews,3.85,2
Shark,2.54,4
Red Wine Vinegar,2.63,1
Fish Stock,1.44,1
Soy,1.37,4
Yellowtail Kingfish,2.58,2
Cous Cous,2.49,3
Blue Eye Trevalla,1.77,2
Camomile,3.5,3
Vegetable Spaghetti,0.86,1
Sweet Potato,0.26,1
Peppers,3.84,3
Licorice,2.33,3
Blue Cheese,1.26,3
Snapper,0.85,3
Persimmon,2.72,1
Flour,1.59,3
Black Eyed Beans,0.15,4
Quinoa,0.06,3
Sprouts,3.63,1
Guava,3.68,2
Brown Flour,3.4,3
Basil Basmati Rice,1.84,4
Buckwheat,3.04,2
Lentils,2.39,2
Turnips,2.24,3
Dried Apricots,2.18,2
Cottage Cheese,0.68,1
Parsley,3.1,2
Smoked Trout,1.05,3
Provolone,3.97,1
Lychees,3,4
Allspice,1.17,3
Wasabi,1.25,2
Jicama,3.01,4
Brussels Sprouts,0.34,2
Mung Beans,0.39,4
Barley,3.25,2
Tangelo,1.19,2
Fromage Blanc,2.36,1
Mountain Bread,3.89,1
Thyme,3.85,2
Wholewheat Flour,0.8,1
Capers,2.2,4
Longan,1.82,1
Purple Rice,1.22,4
Whiting Wild Rice,1.36,3
Kale,3.66,3
Sardines,2.23,1
Feijoa,3.67,2
Tahini,1.12,2
Mango,1,2
Tamari,2.66,3
Amaranth,1.9,3
Goat Milk,1.01,4
Macadamia Nut,3.95,1
Slivered Almonds,3.43,1
Red Pepper,1.18,3
Oats,2.76,3
Cloves,1.05,4
Coconut Water,3.23,3
Bran,3.1,4
Cayenne,0.19,3
Almond Oil,0.43,4
Okra,2.02,4
Oregano,3.11,1
Maple Syrup,0.84,4
Bonito Flakes,2.59,3
Vegetable Oil,0.93,1
White Bread,0.93,3
Aubergine,1.44,1
Albacore Tuna,0.57,4
Chilli Pepper,3.58,3
Cornmeal,0.45,2
Soy Flour,0.43,4
Carrot,2.28,2
Cacao,0.94,1
Amchur,3.02,4
Marigold,0.7,2
Tea,0.68,1
Cake,3.02,1
Coffee,1.72,4
Rosemary,2.12,3
Radicchio,0.79,4
Kohlrabi,0.82,2
Melon,1.15,4
Mace,0.31,2
Rice Syrup,2.57,1
Mahi Mahi,0.08,3
Chestnut,3.49,2
Flounder,0.26,3
Cheddar,3.62,3
Baking Soda,0.77,1
Bok Choy,0.02,4
Tarragon,1.11,3
Asian Greens,1.87,2
Choy Sum,3.33,1
Limes,2.81,4
Tempeh,1.59,4
Chickory,1.73,1
Walnut,1.42,4
